semesterId,semesterName,schoolYear,termNo,status,attemptedRooms,savedRooms,activities,lessons,failedRooms,roomDir,timetableDir
1,1998-1999-1,1998-1999,1,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_1_1998-1999-1,
2,1998-1999-2,1998-1999,2,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_2_1998-1999-2,
3,1999-2000-1,1999-2000,1,接口可见；全编号扫描无课表数据,1000,0,0,0,566,D:\auto\nufe_data\pre2011_full_probe\semester_3_1999-2000-1,
4,1999-2000-2,1999-2000,2,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_4_1999-2000-2,
5,2000-2001-1,2000-2001,1,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_5_2000-2001-1,
6,2000-2001-2,2000-2001,2,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_6_2000-2001-2,
7,2001-2002-1,2001-2002,1,接口可见；全编号扫描无课表数据,1000,0,0,0,547,D:\auto\nufe_data\pre2011_full_probe\semester_7_2001-2002-1,
8,2001-2002-2,2001-2002,2,接口可见；全编号扫描无课表数据,1120,0,0,0,668,D:\auto\nufe_data\pre2011_full_probe\semester_8_2001-2002-2,
9,2002-2003-1,2002-2003,1,接口可见；全编号扫描无课表数据,1120,0,0,0,668,D:\auto\nufe_data\pre2011_full_probe\semester_9_2002-2003-1,
10,2002-2003-2,2002-2003,2,接口可见；全编号扫描无课表数据,1120,0,0,0,669,D:\auto\nufe_data\pre2011_full_probe\semester_10_2002-2003-2,
11,2003-2004-1,2003-2004,1,接口可见；全编号扫描无课表数据,1120,0,0,0,670,D:\auto\nufe_data\pre2011_full_probe\semester_11_2003-2004-1,
12,2003-2004-2,2003-2004,2,接口可见；全编号扫描无课表数据,1120,0,0,0,669,D:\auto\nufe_data\pre2011_full_probe\semester_12_2003-2004-2,
13,2004-2005-1,2004-2005,1,接口可见；全编号扫描无课表数据,1120,0,0,0,670,D:\auto\nufe_data\pre2011_full_probe\semester_13_2004-2005-1,
14,2004-2005-2,2004-2005,2,接口可见；全编号扫描无课表数据,1120,0,0,0,670,D:\auto\nufe_data\pre2011_full_probe\semester_14_2004-2005-2,
15,2005-2006-1,2005-2006,1,接口可见；全编号扫描无课表数据,1120,0,0,0,671,D:\auto\nufe_data\pre2011_full_probe\semester_15_2005-2006-1,
16,2005-2006-2,2005-2006,2,接口可见；全编号扫描无课表数据,1120,0,0,0,669,D:\auto\nufe_data\pre2011_full_probe\semester_16_2005-2006-2,
17,2006-2007-1,2006-2007,1,接口可见；全编号扫描无课表数据,1120,0,0,0,669,D:\auto\nufe_data\pre2011_full_probe\semester_17_2006-2007-1,
18,2006-2007-2,2006-2007,2,接口可见；全编号扫描无课表数据,1120,0,0,0,671,D:\auto\nufe_data\pre2011_full_probe\semester_18_2006-2007-2,
19,2007-2008-1,2007-2008,1,接口可见；全编号扫描无课表数据,1120,0,0,0,671,D:\auto\nufe_data\pre2011_full_probe\semester_19_2007-2008-1,
20,2007-2008-2,2007-2008,2,接口可见；全编号扫描无课表数据,1120,0,0,0,673,D:\auto\nufe_data\pre2011_full_probe\semester_20_2007-2008-2,
21,2008-2009-1,2008-2009,1,已抓取并还原,1120,1,1,1,674,D:\auto\nufe_data\authoritative_rooms_20260729\semester_21_2008-2009-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_21_2008-2009-1
22,2008-2009-2,2008-2009,2,接口可见；全编号扫描无课表数据,1120,0,0,0,674,D:\auto\nufe_data\pre2011_full_probe\semester_22_2008-2009-2,
23,2009-2010-1,2009-2010,1,接口可见；全编号扫描无课表数据,1120,0,0,0,671,D:\auto\nufe_data\pre2011_full_probe\semester_23_2009-2010-1,
24,2009-2010-2,2009-2010,2,接口可见；全编号扫描无课表数据,1120,0,0,0,670,D:\auto\nufe_data\pre2011_full_probe\semester_24_2009-2010-2,
25,2010-2011-1,2010-2011,1,接口可见；全编号扫描无课表数据,1120,0,0,0,705,D:\auto\nufe_data\pre2011_full_probe\semester_25_2010-2011-1,
26,2010-2011-2,2010-2011,2,已抓取并还原,1120,45,78,78,671,D:\auto\nufe_data\authoritative_rooms_20260729\semester_26_2010-2011-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_26_2010-2011-2
27,2011-2012-1,2011-2012,1,已抓取并还原,900,223,2648,2320,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_27_2011-2012-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_27_2011-2012-1
28,2011-2012-2,2011-2012,2,已抓取并还原,900,212,2385,2173,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_28_2011-2012-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_28_2011-2012-2
29,2012-2013-1,2012-2013,1,已抓取并还原,900,229,2693,2322,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_29_2012-2013-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_29_2012-2013-1
30,2012-2013-2,2012-2013,2,已抓取并还原,900,211,2491,2213,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_30_2012-2013-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_30_2012-2013-2
31,2013-2014-1,2013-2014,1,已抓取并还原,900,223,2714,2340,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_31_2013-2014-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_31_2013-2014-1
32,2013-2014-2,2013-2014,2,已抓取并还原,900,209,2307,2138,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_32_2013-2014-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_32_2013-2014-2
33,2014-2015-1,2014-2015,1,已抓取并还原,900,228,2419,2223,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_33_2014-2015-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_33_2014-2015-1
34,2014-2015-2,2014-2015,2,已抓取并还原,900,218,2405,2233,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_34_2014-2015-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_34_2014-2015-2
35,2015-2016-1,2015-2016,1,已抓取并还原,900,229,2581,2417,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_35_2015-2016-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_35_2015-2016-1
36,2015-2016-2,2015-2016,2,已抓取并还原,900,218,2499,2334,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_36_2015-2016-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_36_2015-2016-2
37,2016-2017-1,2016-2017,1,已抓取并还原,900,225,2809,2629,447,D:\auto\nufe_data\authoritative_rooms_20260729\semester_37_2016-2017-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_37_2016-2017-1
38,2016-2017-2,2016-2017,2,已抓取并还原,960,224,2705,2506,507,D:\auto\nufe_data\authoritative_rooms_20260729\semester_38_2016-2017-2,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_38_2016-2017-2
39,2017-2018-1,2017-2018,1,已抓取并还原,960,151,2738,2455,507,D:\auto\nufe_data\authoritative_rooms_20260729\semester_39_2017-2018-1,D:\auto\nufe_output\authoritative_20260729\reconstructed_timetables\semester_39_2017-2018-1
